N,Average Time (seconds),Average Comparisons
100,6.150540000007254e-05,614.0
500,0.0004734593999991432,4952.0
1000,0.0010817518000010296,11204.0
2000,0.0023679820000005237,23112.0
5000,0.008547482999999545,68118.0
10000,0.015179512400000306,154782.0
