Input Size (n),Execution Time (seconds)
1000,0.02026504794458793
2000,0.0413629949326822
4000,0.09314200165639892
8000,0.2005620720205648
16000,0.4595867200207262
32000,0.9781195426623926
64000,2.1397963276955387
128000,4.1279578842174685
256000,9.112297469581968
